Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Environment/Episode Length,Is Training
252000,0.80954075,2.483995,1072.3243789672852,1072.3243789672852,975.0,1.0
253000,1.8196323,7.05863,-163.19468450546265,-163.19468450546265,999.0,1.0
254000,0.88597,-1.2267205,-97.25715589523315,-97.25715589523315,999.0,1.0
255000,0.78417546,8.511405,448.2560086250305,448.2560086250305,517.0,1.0
256000,0.82637936,22.255804,501.64151096343994,501.64151096343994,556.5,1.0
257000,1.6520545,13.263956,-148.12285947799683,-148.12285947799683,999.0,1.0
258000,1.9052852,8.52714,-76.77816152572632,-76.77816152572632,999.0,1.0
259000,1.7011598,10.228506,751.5497282743454,751.5497282743454,426.25,1.0
260000,0.7858839,5.1411624,518.4998294115067,518.4998294115067,519.0,1.0
261000,0.82715493,-2.0233278,-99.45910239219666,-99.45910239219666,519.0,1.0
262000,0.9021856,23.253891,1181.303955078125,1181.303955078125,999.0,1.0
263000,1.8378552,10.822493,-114.58678913116455,-114.58678913116455,999.0,1.0
264000,1.7459985,9.874249,413.38196301460266,413.38196301460266,853.0,1.0
265000,1.1388348,6.4681897,466.4685928821564,466.4685928821564,535.5,1.0
266000,1.2231939,36.78145,-99.38348984718323,-99.38348984718323,999.0,1.0
267000,1.0211772,-20.327326,-53.19024133682251,-53.19024133682251,999.0,1.0
268000,2.027886,20.121426,500.5094385147095,500.5094385147095,525.0,1.0
269000,0.83959854,4.351022,1126.8594512939453,1126.8594512939453,69.0,1.0
270000,0.8455996,0.6865146,-203.0779995918274,-203.0779995918274,999.0,1.0
271000,1.6606482,8.383326,-200.21510553359985,-200.21510553359985,999.0,1.0
272000,1.1560888,40.399223,479.59217643737793,479.59217643737793,523.0,1.0
273000,1.022393,-11.778749,-323.0333733558655,-323.0333733558655,999.0,1.0
274000,0.8286931,-14.887277,510.7513301372528,510.7513301372528,548.0,1.0
275000,0.6341132,9.251641,478.31265330314636,478.31265330314636,522.5,1.0
276000,1.4315141,10.68829,-218.3376796245575,-218.3376796245575,999.0,1.0
277000,1.8112733,8.517199,470.8192415237427,470.8192415237427,507.5,1.0
278000,1.052522,-3.673031,498.41014528274536,498.41014528274536,524.0,1.0
279000,0.5655955,-4.6051702,-62.84667444229126,-62.84667444229126,999.0,1.0
280000,0.61120945,-3.080359,-179.11178302764893,-179.11178302764893,999.0,1.0
281000,1.3096153,2.3957992,-208.72186827659607,-208.72186827659607,999.0,1.0
282000,1.9218311,9.747643,428.05164432525635,428.05164432525635,516.5,1.0
283000,1.1978557,0.81404716,-179.40753841400146,-179.40753841400146,999.0,1.0
284000,0.68673253,-10.3642845,-102.65245389938354,-102.65245389938354,999.0,1.0
285000,0.9256202,-14.349519,501.74679803848267,501.74679803848267,556.0,1.0
286000,0.91713864,-18.210846,-83.75471210479736,-83.75471210479736,999.0,1.0
287000,1.3639934,-3.4783492,-201.8549952507019,-201.8549952507019,999.0,1.0
288000,1.7039543,6.6855288,-147.80694437026978,-147.80694437026978,999.0,1.0
289000,1.6389297,3.051497,24.570441007614136,24.570441007614136,999.0,1.0
290000,1.7139381,7.989409,-65.53056621551514,-65.53056621551514,999.0,1.0
291000,1.264951,6.164992,-105.28111028671265,-105.28111028671265,999.0,1.0
292000,1.2937267,2.0828972,-248.960186958313,-248.960186958313,999.0,1.0
293000,1.1880969,-4.2283883,463.616334438324,463.616334438324,506.5,1.0
294000,1.2350887,-6.8404865,-26.05367422103882,-26.05367422103882,999.0,1.0
295000,1.2321074,26.09027,-131.42661094665527,-131.42661094665527,999.0,1.0
296000,0.6847438,15.270973,536.744960308075,536.744960308075,512.0,1.0
297000,0.7447481,-8.760057,708.3076566060384,708.3076566060384,370.0,1.0
298000,1.1272198,8.581037,-221.4558916091919,-221.4558916091919,999.0,1.0
299000,1.5626923,-0.3317907,-145.8990650177002,-145.8990650177002,999.0,1.0
300000,1.0648229,-22.444864,2.8205652236938477,2.8205652236938477,999.0,1.0
301000,1.5487585,1.0320344,30.789165258407593,30.789165258407593,999.0,1.0
302000,1.8410031,17.438148,617.7001063028971,617.7001063028971,355.0,1.0
303000,1.232816,12.397747,41.0461163520813,41.0461163520813,999.0,1.0
304000,0.882774,-3.6952264,-182.08835315704346,-182.08835315704346,999.0,1.0
305000,1.5853264,13.539467,534.102801322937,534.102801322937,593.5,1.0
306000,0.77075624,-31.516129,-115.94581520557404,-115.94581520557404,999.0,1.0
307000,0.82381785,-10.40188,1073.6100902557373,1073.6100902557373,242.0,1.0
308000,0.41701153,-7.1347566,-67.2855281829834,-67.2855281829834,999.0,1.0
309000,1.5278357,13.223568,-92.19294357299805,-92.19294357299805,999.0,1.0
310000,0.9724754,24.036692,691.0907592773438,691.0907592773438,361.0,1.0
311000,1.3118628,14.322584,796.1029430627823,796.1029430627823,405.0,1.0
312000,0.61545616,-11.64802,-133.4989743232727,-133.4989743232727,999.0,1.0
313000,1.4668024,6.7146473,-23.8895206451416,-23.8895206451416,999.0,1.0
314000,1.4670244,18.82,621.3100662231445,621.3100662231445,529.0,1.0
315000,1.1120981,11.979728,1038.7295393943787,1038.7295393943787,315.5,1.0
316000,0.44310942,2.4631479,427.9691951274872,427.9691951274872,502.0,1.0
317000,0.52393,-9.748113,475.44505858421326,475.44505858421326,504.5,1.0
318000,0.5637133,-16.81319,-94.72365808486938,-94.72365808486938,999.0,1.0
319000,0.9806681,-2.4540129,509.9316372871399,509.9316372871399,618.5,1.0
320000,2.1312702,37.376083,1123.312635421753,1123.312635421753,208.0,1.0
321000,1.714609,18.1726,649.313755830129,649.313755830129,445.0,1.0
322000,0.80580986,11.002463,-221.63900327682495,-221.63900327682495,999.0,1.0
323000,0.51027536,1.3534847,452.94679498672485,452.94679498672485,528.0,1.0
