Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
245000,1.6325189,-9.980417,999.0,-99.94664613405864,-99.94664613405864,1.0
246000,1.6941751,-9.965126,999.0,-99.93997955322266,-99.93997955322266,1.0
247000,1.6739422,-9.963366,999.0,-99.97997951507568,-99.97997951507568,1.0
248000,1.6414837,-9.963655,None,None,None,1.0
249000,1.6382298,-9.9536705,None,None,None,1.0
250000,1.6126083,-9.964367,None,None,None,1.0
251000,1.6016893,-9.97073,999.0,-99.9099793434143,-99.9099793434143,1.0
252000,1.6216831,-9.977307,999.0,-99.97497951984406,-99.97497951984406,1.0
253000,1.6092205,-9.976206,None,None,None,1.0
254000,1.6210072,-9.978225,999.0,-99.94664613405864,-99.94664613405864,1.0
255000,1.6076217,-9.975081,999.0,-99.93997955322266,-99.93997955322266,1.0
256000,1.6100833,-9.976032,999.0,-99.97997951507568,-99.97997951507568,1.0
257000,1.5671809,-9.964256,None,None,None,1.0
258000,1.5592265,-9.965323,None,None,None,1.0
259000,1.62442,-9.958912,None,None,None,1.0
260000,1.6274947,-9.958269,999.0,-100.90997982025146,-100.90997982025146,1.0
261000,1.5679158,-9.967039,999.0,-99.97497951984406,-99.97497951984406,1.0
262000,1.5703644,-9.970554,None,None,None,1.0
263000,1.5851144,-9.971969,999.0,-99.94664613405864,-99.94664613405864,1.0
264000,1.5503775,-9.970564,999.0,-99.93997955322266,-99.93997955322266,1.0
265000,1.5806744,-9.983002,999.0,-99.97997951507568,-99.97997951507568,1.0
266000,1.5722415,-9.987088,None,None,None,1.0
267000,1.5170956,-9.9836445,None,None,None,1.0
268000,1.5299454,-9.979813,None,None,None,1.0
269000,1.5153399,-9.978276,999.0,-99.9099793434143,-99.9099793434143,1.0
270000,1.5471925,-9.9735365,999.0,-99.97497951984406,-99.97497951984406,1.0
271000,1.5330424,-9.969941,None,None,None,1.0
272000,1.5310558,-9.969102,999.0,-99.94664613405864,-99.94664613405864,1.0
273000,1.5268114,-9.964346,999.0,-99.93997955322266,-99.93997955322266,1.0
274000,1.5532174,-9.971847,999.0,-99.97997951507568,-99.97997951507568,1.0
275000,1.553135,-9.978539,None,None,None,1.0
276000,1.5530308,-9.984091,None,None,None,1.0
277000,1.5358214,-9.983505,None,None,None,1.0
278000,1.5418801,-9.97921,999.0,-99.9099793434143,-99.9099793434143,1.0
279000,1.5985361,-9.977074,999.0,-99.97497951984406,-99.97497951984406,1.0
280000,1.4912354,-9.9814,None,None,None,1.0
281000,1.506586,-9.984988,999.0,-99.94664613405864,-99.94664613405864,1.0
282000,1.5159079,-9.980291,999.0,-99.93997955322266,-99.93997955322266,1.0
283000,1.4961692,-9.9751425,999.0,-99.97997951507568,-99.97997951507568,1.0
284000,1.5110592,-9.973629,None,None,None,1.0
285000,1.5072664,-9.9677305,None,None,None,1.0
