Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Environment/Episode Length,Is Training
174000,2.0075934,0.5673309,-27.289456367492676,-27.289456367492676,999.0,1.0
175000,1.5096997,-2.815364,-173.579931974411,-173.579931974411,999.0,1.0
176000,1.6824812,1.654385,678.921680688858,678.921680688858,506.3333333333333,1.0
177000,1.7654619,5.121256,-79.93788146972656,-79.93788146972656,999.0,1.0
178000,1.9461985,5.479199,491.6297987103462,491.6297987103462,536.0,1.0
179000,2.0037274,2.8994212,496.6090683937073,496.6090683937073,522.5,1.0
180000,2.0249677,2.6361876,-185.43785452842712,-185.43785452842712,999.0,1.0
181000,2.0259864,0.70096374,-105.32647562026978,-105.32647562026978,999.0,1.0
182000,1.8398192,1.4961239,444.2207775115967,444.2207775115967,511.5,1.0
183000,1.733248,-1.693435,-11.746655702590942,-11.746655702590942,999.0,1.0
184000,1.986111,1.2078962,-106.27098226547241,-106.27098226547241,999.0,1.0
185000,2.0397003,2.9620676,-75.17138481140137,-75.17138481140137,999.0,1.0
186000,1.9689485,5.5403004,-48.510794162750244,-48.510794162750244,999.0,1.0
187000,1.865746,-1.7980952,-145.72522687911987,-145.72522687911987,999.0,1.0
188000,1.9502702,0.34666657,-264.61404633522034,-264.61404633522034,624.0,1.0
189000,1.7063322,-0.8078711,1064.7703285217285,1064.7703285217285,999.0,1.0
190000,1.7783018,-1.9109502,548.2140963077545,548.2140963077545,97.0,1.0
191000,1.8083904,-2.0659306,-91.46734714508057,-91.46734714508057,999.0,1.0
192000,1.340832,-0.22797248,-50.80000066757202,-50.80000066757202,999.0,1.0
193000,1.4881809,-0.34746355,-210.4353265762329,-210.4353265762329,999.0,1.0
194000,1.9310266,8.883358,748.4653398394585,748.4653398394585,395.75,1.0
195000,1.8332851,5.8269415,953.5279369354248,953.5279369354248,747.0,1.0
196000,1.6171291,-3.0365005,10.12986969947815,10.12986969947815,999.0,1.0
197000,1.7089021,-4.053967,-33.73743510246277,-33.73743510246277,999.0,1.0
198000,1.7918172,0.11801058,-99.90944814682007,-99.90944814682007,999.0,1.0
199000,1.906465,2.5154455,-181.7899534702301,-181.7899534702301,999.0,1.0
200000,1.8319658,2.4031134,-102.96344137191772,-102.96344137191772,999.0,1.0
201000,1.4184513,4.255726,509.54061114788055,509.54061114788055,510.5,1.0
202000,1.2521746,8.139992,447.74180150032043,447.74180150032043,510.5,1.0
203000,1.6152397,5.259094,426.1422299146652,426.1422299146652,506.5,1.0
204000,2.0121677,5.255351,-151.75384140014648,-151.75384140014648,999.0,1.0
205000,1.9193077,5.8934784,-135.67987966537476,-135.67987966537476,999.0,1.0
206000,1.9175054,1.6244866,-115.09816384315491,-115.09816384315491,999.0,1.0
207000,2.0031037,-0.28934243,-135.04214668273926,-135.04214668273926,999.0,1.0
208000,1.7750205,2.7280562,479.5960593819618,479.5960593819618,641.5,1.0
209000,1.3310807,4.2381635,457.65578413009644,457.65578413009644,516.0,1.0
210000,1.2886955,0.1699317,-141.77428150177002,-141.77428150177002,999.0,1.0
211000,1.7353208,-2.792385,-210.25381898880005,-210.25381898880005,999.0,1.0
212000,1.946189,-0.7730386,-206.99240016937256,-206.99240016937256,999.0,1.0
213000,1.8639218,6.703134,523.0790449380875,523.0790449380875,526.5,1.0
214000,1.1701399,2.901349,-82.84326219558716,-82.84326219558716,999.0,1.0
215000,1.3745084,-5.990941,-4.8063645362854,-4.8063645362854,999.0,1.0
216000,1.8209485,-0.21957278,517.8237046003342,517.8237046003342,531.0,1.0
217000,1.1972109,0.73780036,-116.8418869972229,-116.8418869972229,999.0,1.0
218000,2.1015108,5.3471627,-169.1483016014099,-169.1483016014099,999.0,1.0
219000,2.0165834,9.689764,-126.23666000366211,-126.23666000366211,999.0,1.0
220000,1.0630957,8.573361,-105.66299390792847,-105.66299390792847,999.0,1.0
221000,1.9660906,12.737689,651.6092944542567,651.6092944542567,351.3333333333333,1.0
222000,1.2681702,-2.7112756,-193.2788050174713,-193.2788050174713,999.0,1.0
223000,1.5005195,-0.3662904,1061.0773885250092,1061.0773885250092,269.5,1.0
224000,1.6290172,-0.32849905,-168.950177192688,-168.950177192688,999.0,1.0
225000,1.5615878,-1.6111283,-158.76022601127625,-158.76022601127625,999.0,1.0
226000,1.3890102,-5.056881,387.18589210510254,387.18589210510254,501.0,1.0
227000,1.7447635,-4.5756702,-144.30215311050415,-144.30215311050415,999.0,1.0
